epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.99218,1.67612,3.27128,1.43575,0.01137,0.9375,0.2529,0.13768,1.54666,2.84689,1.7091,3.334e-05,3.334e-05,3.334e-05
2,10.0585,1.54382,3.21616,1.42664,0.01219,1,0.30701,0.17187,1.42118,2.78297,1.55653,7.50984e-05,7.50984e-05,7.50984e-05
3,11.2848,1.46562,3.19214,1.41461,0.01155,0.9375,0.47969,0.28583,1.27013,2.69527,1.43952,0.000106955,0.000106955,0.000106955
4,12.4092,1.34705,2.93705,1.25837,0.01204,1,0.44963,0.30698,1.25287,2.68575,1.39811,0.000128909,0.000128909,0.000128909
5,13.5195,1.30517,2.77797,1.23457,0.01202,1,0.48928,0.34441,1.296,2.6731,1.36788,0.000140962,0.000140962,0.000140962
6,14.6853,1.23374,2.56745,1.21308,0.01203,1,0.45214,0.30911,1.24155,2.68758,1.3043,0.000143112,0.000143112,0.000143112
7,15.8053,1.23126,2.64852,1.17785,0.01199,1,0.46766,0.32651,1.24686,2.68676,1.31195,0.00013536,0.00013536,0.00013536
8,16.8814,1.14553,2.37398,1.13553,0.01199,1,0.42636,0.31009,1.2335,2.67946,1.30396,0.000117707,0.000117707,0.000117707
9,19.6084,1.17557,2.39742,1.13679,0.01136,0.9375,0.42485,0.30592,1.29082,2.68648,1.34717,9.01514e-05,9.01514e-05,9.01514e-05
10,21.2464,1.19102,2.48618,1.16821,0.01137,0.9375,0.42451,0.30472,1.29347,2.67825,1.34289,5.26939e-05,5.26939e-05,5.26939e-05
